Year,Region,State,Deposit,Credit
2023,Central,Uttarakhand,200425,73050
2023,Western,Goa,102038,25566
2023,Western,Gujarat,1027453,734431
2023,Western,Maharashtra,3922908,3905707
2023,Western,Dadra & Nagar Haveli,14188,5407
2023,Southern,Andhra Pradesh,429719,621699
2023,Southern,Karnataka,1485253,958444
2023,Southern,Kerala,724013,476457
2023,Southern,Tamil Nadu,1211394,1281173
2023,Southern,Lakshadweep,1413,145
2023,Southern,Puducherry,26469,17608
2023,Southern,Telangana,693887,719643
2024,Northern,Haryana,788798,525579
2024,Northern,Himachal Pradesh,150334,53601
2024,Northern,Jammu & Kashmir,175967,102722
2024,Northern,Punjab,617489,360008
2024,Northern,Rajasthan,670970,581568
2024,Northern,Chandigarh,114089,83008
2024,Northern,Delhi,1855609,1680085
2024,Northern,Ladakh,8848,3861
2024,North-Eastern,Arunachal Pradesh,29205,8735
2024,North-Eastern,Assam,220474,127803
2024,North-Eastern,Manipur,15669,11600
2024,North-Eastern,Meghalaya,34372,14134
2024,North-Eastern,Mizoram,15713,7980
2024,North-Eastern,Nagaland,17135,8821
2024,North-Eastern,Tripura,37109,16452
2024,Eastern,Bihar,524251,264746
2024,Eastern,Jharkhand,336724,125014
2024,Eastern,Odisha,522543,251114
2024,Eastern,Sikkim,14748,6520
2024,Eastern,West Bengal,1143463,566403
2024,Eastern,Andaman & Nicobar Islands,7746,4110
2024,Central,Chhattisgarh,243955,185447
2024,Central,Madhya Pradesh,617814,468541
2024,Central,Uttar Pradesh,1745807,871585
2024,Central,Uttarakhand,222835,89999
2024,Western,Goa,112021,29810
2024,Western,Gujarat,1195365,888934
2024,Western,Maharashtra,4667847,4695201
2024,Western,Dadra & Nagar Haveli,15655,6900
2024,Southern,Andhra Pradesh,480580,737696
2024,Southern,Karnataka,1682411,1160358
2024,Southern,Kerala,803411,564938
2024,Southern,Tamil Nadu,1344553,1518843
2024,Southern,Lakshadweep,1532,167
2024,Southern,Puducherry,30226,21141
2024,Southern,Telangana,788091,870271
2025,Northern,Haryana,888772,607750
2025,Northern,Himachal Pradesh,162531,61409
2025,Northern,Jammu & Kashmir,191982,109193
2025,Northern,Punjab,668830,391262
2025,Northern,Rajasthan,741436,656903
2025,Northern,Chandigarh,126596,91035
2025,Northern,Delhi,2071013,1900568
2025,Northern,Ladakh,9885,4277
2025,North-Eastern,Arunachal Pradesh,33114,10273
2025,North-Eastern,Assam,234070,146867
2025,North-Eastern,Manipur,16806,12866
2025,North-Eastern,Meghalaya,37779,15241
2025,North-Eastern,Mizoram,17462,8987
2025,North-Eastern,Nagaland,18789,9792
2025,North-Eastern,Tripura,42140,18224
2025,Eastern,Bihar,568726,292274
2025,Eastern,Jharkhand,367362,144525
2025,Eastern,Odisha,583925,281088
2025,Eastern,Sikkim,16290,7067
2025,Eastern,West Bengal,1225284,632168
2025,Eastern,Andaman & Nicobar Islands,8549,4463
2025,Central,Chhattisgarh,268161,213314
2025,Central,Madhya Pradesh,673476,527588
2025,Central,Uttar Pradesh,1909885,972486
2025,Central,Uttarakhand,246010,102097
2025,Western,Goa,120662,32244
2025,Western,Gujarat,1273072,1014466
2025,Western,Maharashtra,5233966,5135539
2025,Western,Dadra & Nagar Haveli,16965,7625
2025,Southern,Andhra Pradesh,529673,800238
2025,Southern,Karnataka,1888708,1279545
2025,Southern,Kerala,894855,615615
2025,Southern,Tamil Nadu,1463026,1687805
2025,Southern,Lakshadweep,1540,195
2025,Southern,Puducherry,32927,23693
2025,Southern,Telangana,867571,968183
